date,month,day,week,weekday,highLow,openClose,volume
20170530,5,30,5,1,0.653,-0.415,143098.91975
20170531,5,31,5,2,0.742,-0.052,160281.199748
20170601,6,1,1,3,0.835,0.574,145282.26976
20170602,6,2,1,4,1.38,-0.985,147598.249721
20170605,6,5,2,0,0.422,0.112,105471.399701
20170606,6,6,2,1,1.3,-1.042,157422.929701
20170607,6,7,2,2,0.766,0.412,151422.029642
20170608,6,8,2,3,1.004,0.159,157154.649581
20170609,6,9,2,4,1.081,0.362,170106.389591
20170612,6,12,3,0,0.806,-0.361,141245.559641
20170613,6,13,3,1,0.486,0.128,124386.819625
20170614,6,14,3,2,1.528,-0.498,179620.009465
20170615,6,15,3,3,1.707,1.38,179032.249429
20170616,6,16,3,4,0.771,-0.082,164187.49955
20170619,6,19,4,0,0.872,0.657,136792.059558
20170620,6,20,4,1,0.479,-0.065,155378.269497
20170621,6,21,4,2,0.671,-0.075,177747.699687
20170622,6,22,4,3,0.496,-0.066,173919.019537
20170623,6,23,4,4,0.275,-0.056,133662.219648
20170626,6,26,5,0,0.842,0.748,134148.729569
20170627,6,27,5,1,1.004,0.497,171882.609471
20170628,6,28,5,2,0.585,-0.065,197043.809368
20170629,6,29,5,3,1.113,-0.11,206018.079396
20170630,6,30,5,4,0.873,0.182,182062.369417
20170703,7,3,1,0,1.413,1.318,137027.669596
20170704,7,4,1,1,0.718,-0.093,135809.759773
20170705,7,5,1,2,0.861,-0.019,162671.859605
20170706,7,6,1,3,0.583,-0.036,160964.279658
20170707,7,7,1,4,1.074,0.675,159770.36969
20170710,7,10,2,0,0.443,0.172,122813.919791
20170711,7,11,2,1,0.776,-0.097,207667.899567
20170712,7,12,2,2,1.041,-0.774,295963.869634
20170713,7,13,2,3,0.667,0.123,165698.499643
20170714,7,14,2,4,1.316,-0.757,173289.959696
20170717,7,17,3,0,0.539,0.179,164759.579685
20170718,7,18,3,1,1.0,-0.562,185687.309577
20170719,7,19,3,2,0.677,-0.096,200185.549617
20170720,7,20,3,3,0.941,-0.081,200089.589529
20170721,7,21,3,4,1.065,-0.767,162322.569616
20170724,7,24,4,0,0.695,-0.015,154505.409637
20170725,7,25,4,1,1.13,0.799,181887.289351
20170726,7,26,4,2,1.139,-0.713,194898.769336
20170727,7,27,4,3,0.93,0.061,244356.749441
20170728,7,28,4,4,0.781,-0.538,192626.989547
20170731,7,31,5,0,0.559,-0.376,161784.359656
20170801,8,1,1,1,0.669,0.105,205652.809578
20170802,8,2,1,2,0.701,0.369,207902.579553
20170803,8,3,1,3,0.971,-0.684,175736.339615
20170804,8,4,1,4,1.203,0.623,172729.929595
20170807,8,7,2,0,0.274,0.036,144441.139581
20170808,8,8,2,1,0.581,-0.431,134134.359705
20170809,8,9,2,2,0.802,-0.263,407434.051633
20170810,8,10,2,3,1.032,-0.865,175016.679696
20170811,8,11,2,4,0.672,-0.02,184948.039692
20170814,8,14,3,0,0.752,0.466,159454.469759
20170815,8,15,3,1,1.241,1.045,170274.099926
20170816,8,16,3,2,0.919,-0.478,150569.859745
