date,month,day,week,weekday,highLow,openClose,volume
20160104,1,4,1,0,1.761,-0.754,145218.539915
20160105,1,5,1,1,0.9,-0.378,155806.689971
20160106,1,6,1,2,0.914,-0.596,180320.789828
20160107,1,7,1,3,1.425,-0.798,206540.319827
20160108,1,8,1,4,1.608,-0.443,195838.099958
20160111,1,11,2,0,1.33,0.533,200035.789934
20160112,1,12,2,1,0.845,-0.119,197339.959994
20160113,1,13,2,2,0.753,0.037,186555.930022
20160114,1,14,2,3,0.986,0.386,216321.769921
20160115,1,15,2,4,1.762,-1.087,228994.060017
20160118,1,18,3,0,0.78,0.628,142575.260228
20160119,1,19,3,1,0.881,0.32,181252.880041
20160120,1,20,3,2,1.704,-0.689,236993.110037
20160121,1,21,3,3,1.341,0.756,271910.3901
20160122,1,22,3,4,1.338,1.081,199418.300123
20160125,1,25,4,0,0.683,-0.363,173174.08993
20160126,1,26,4,1,0.965,0.12,171914.319972
20160127,1,27,4,2,1.023,0.246,193947.599959
20160128,1,28,4,3,0.577,0.149,187696.309969
20160129,1,29,4,4,3.188,2.312,222894.610137
20160201,2,1,1,0,0.81,-0.361,164760.80007
20160202,2,2,1,1,1.201,-1.013,178759.320006
20160203,2,3,1,2,2.991,-2.078,239109.270308
20160204,2,4,1,3,1.713,-1.111,237428.270179
20160205,2,5,1,4,1.136,0.041,209616.300159
20160208,2,8,2,0,2.353,-0.96,215027.100126
20160209,2,9,2,1,1.64,-0.734,275140.920383
20160210,2,10,2,2,2.141,-1.785,275400.230312
20160211,2,11,2,3,2.608,-0.896,290386.100478
20160212,2,12,2,4,1.881,0.787,264177.850285
20160215,2,15,3,0,1.456,1.165,177909.910246
20160216,2,16,3,1,1.281,-0.52,202979.35025
20160217,2,17,3,2,1.13,0.031,199280.07027
20160218,2,18,3,3,1.179,-0.858,179866.250213
20160219,2,19,3,4,1.069,-0.667,184971.350264
20160222,2,22,4,0,0.964,0.337,162132.84005
20160223,2,23,4,1,1.278,-0.798,200865.689847
20160224,2,24,4,2,1.222,0.084,211968.009888
20160225,2,25,4,3,1.128,0.817,216591.659945
20160226,2,26,4,4,1.431,0.989,183267.579998
20160229,2,29,5,0,1.332,-1.284,196995.299998
20160301,3,1,1,1,2.025,1.302,193058.179854
20160302,3,2,1,2,1.34,-0.521,200786.689905
20160303,3,3,1,3,0.969,0.214,194588.549848
20160304,3,4,1,4,1.136,0.045,213218.569771
20160307,3,7,2,0,0.706,-0.49,166049.919977
20160308,3,8,2,1,1.092,-0.811,200229.799813
20160309,3,9,2,2,1.225,0.695,186610.149908
