date,month,day,week,weekday,res
20160104,1,4,1,0,1.761
20160105,1,5,1,1,0.9
20160106,1,6,1,2,0.914
20160107,1,7,1,3,1.425
20160108,1,8,1,4,1.608
20160111,1,11,2,0,1.33
20160112,1,12,2,1,0.845
20160113,1,13,2,2,0.753
20160114,1,14,2,3,0.986
20160115,1,15,2,4,1.762
20160118,1,18,3,0,0.78
20160119,1,19,3,1,0.881
20160120,1,20,3,2,1.704
20160121,1,21,3,3,1.341
20160122,1,22,3,4,1.338
20160125,1,25,4,0,0.683
20160126,1,26,4,1,0.965
20160127,1,27,4,2,1.023
20160128,1,28,4,3,0.577
20160129,1,29,4,4,3.188
20160201,2,1,1,0,0.81
20160202,2,2,1,1,1.201
20160203,2,3,1,2,2.991
20160204,2,4,1,3,1.713
20160205,2,5,1,4,1.136
20160208,2,8,2,0,2.353
20160209,2,9,2,1,1.64
20160210,2,10,2,2,2.141
20160211,2,11,2,3,2.608
20160212,2,12,2,4,1.881
20160215,2,15,3,0,1.456
20160216,2,16,3,1,1.281
20160217,2,17,3,2,1.13
20160218,2,18,3,3,1.179
20160219,2,19,3,4,1.069
20160222,2,22,4,0,0.964
20160223,2,23,4,1,1.278
20160224,2,24,4,2,1.222
20160225,2,25,4,3,1.128
20160226,2,26,4,4,1.431
20160229,2,29,5,0,1.332
20160301,3,1,1,1,2.025
20160302,3,2,1,2,1.34
20160303,3,3,1,3,0.969
20160304,3,4,1,4,1.136
20160307,3,7,2,0,0.706
20160308,3,8,2,1,1.092
20160309,3,9,2,2,1.225
20160310,3,10,2,3,1.836
20160311,3,11,2,4,1.164
20160314,3,14,3,0,0.501
20160315,3,15,3,1,1.506
20160316,3,16,3,2,1.488
20160317,3,17,3,3,2.29
20160318,3,18,3,4,0.939
20160321,3,21,4,0,0.714
20160322,3,22,4,1,1.109
20160323,3,23,4,2,0.764
20160324,3,24,4,3,0.712
20160325,3,25,4,4,0.573
20160328,3,28,5,0,0.676
20160329,3,29,5,1,1.191
20160330,3,30,5,2,0.79
20160331,3,31,5,3,0.55
20160401,4,1,1,4,1.012
20160404,4,4,2,0,0.701
20160405,4,5,2,1,1.402
20160406,4,6,2,2,1.296
20160407,4,7,2,3,2.237
20160408,4,8,2,4,1.029
20160411,4,11,3,0,0.81
20160412,4,12,3,1,0.916
20160413,4,13,3,2,0.947
20160414,4,14,3,3,0.647
20160415,4,15,3,4,1.128
20160418,4,18,4,0,1.15
20160419,4,19,4,1,0.742
20160420,4,20,4,2,1.115
20160421,4,21,4,3,0.572
20160422,4,22,4,4,2.546
20160425,4,25,5,0,1.039
20160426,4,26,5,1,0.804
20160427,4,27,5,2,0.729
20160428,4,28,5,3,4.019
20160429,4,29,5,4,1.923
20160502,5,2,1,0,0.68
20160503,5,3,1,1,0.93
20160504,5,4,1,2,1.208
20160505,5,5,1,3,0.696
20160506,5,6,1,4,0.985
20160509,5,9,2,0,1.553
20160510,5,10,2,1,1.076
20160511,5,11,2,2,1.002
20160512,5,12,2,3,1.168
20160513,5,13,2,4,1.041
20160516,5,16,3,0,0.629
20160517,5,17,3,1,0.81
20160518,5,18,3,2,1.524
20160519,5,19,3,3,0.682
20160520,5,20,3,4,0.739
20160523,5,23,4,0,1.131
20160524,5,24,4,1,0.957
20160525,5,25,4,2,0.584
20160526,5,26,4,3,0.813
20160527,5,27,4,4,0.973
20160530,5,30,5,0,1.221
20160531,5,31,5,1,0.848
20160601,6,1,1,2,1.779
20160602,6,2,1,3,1.073
20160603,6,3,1,4,2.587
20160606,6,6,2,0,1.219
