date,month,day,week,weekday,res
20171006,10,6,1,4,0.797
20171009,10,9,2,0,0.415
20171010,10,10,2,1,0.838
20171011,10,11,2,2,0.504
20171012,10,12,2,3,0.404
20171013,10,13,2,4,0.619
20171016,10,16,3,0,0.636
20171017,10,17,3,1,0.441
20171018,10,18,3,2,0.917
20171019,10,19,3,3,0.855
20171020,10,20,3,4,1.129
20171023,10,23,4,0,0.855
20171024,10,24,4,1,0.775
20171025,10,25,4,2,0.761
20171026,10,26,4,3,0.697
20171027,10,27,4,4,0.784
20171030,10,30,5,0,0.807
20171031,10,31,5,1,0.776
20171101,11,1,1,2,0.676
20171102,11,2,1,3,0.679
20171103,11,3,1,4,0.795
20171106,11,6,2,0,1.039
20171107,11,7,2,1,0.642
20171108,11,8,2,2,0.626
20171109,11,9,2,3,0.977
20171110,11,10,2,4,0.415
20171113,11,13,3,0,0.47
20171114,11,14,3,1,0.602
20171116,11,16,3,3,1.018
20171117,11,17,3,4,1.198
20171120,11,20,4,0,0.835
20171121,11,21,4,1,0.527
20171122,11,22,4,2,1.354
20171123,11,23,4,3,0.309
20171124,11,24,4,4,0.43
20171127,11,27,5,0,0.851
20171128,11,28,5,1,0.708
20171129,11,29,5,2,0.78
20171130,11,30,5,3,0.904
20171201,12,1,1,4,1.465
20171204,12,4,1,0,0.725
20171205,12,5,1,1,0.487
20171206,12,6,1,2,0.637
20171207,12,7,1,3,0.94
20171208,12,8,1,4,0.513
20171211,12,11,2,0,0.446
20171212,12,12,2,1,0.38
20171213,12,13,2,2,1.115
20171214,12,14,2,3,0.814
20171215,12,15,2,4,0.712
20171218,12,18,3,0,0.52
20171219,12,19,3,1,0.567
20171220,12,20,3,2,0.627
20171221,12,21,3,3,0.436
20171222,12,22,3,4,0.196
20171226,12,26,4,1,0.233
20171227,12,27,4,2,0.232
20171228,12,28,4,3,0.684
20171229,12,29,4,4,0.497
