bOPCL0,bOPCL1,bOPCL2,sEVNT0,sGAIN0,sLBNP0,sLBNP1,sLOSS0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
15,10,8,20,10,16,30,40,2017,2017-01-01 22:54:00,15_10_8_20_10_16_30_40,0.0,,0.0,30,-15,-15
15,10,4,20,10,16,30,40,2017,2017-11-30 18:02:00,15_10_4_20_10_16_30_40,0.48,12.88,0.43,423,-8,-8
15,10,10,20,10,16,30,40,2017,2017-01-01 22:54:00,15_10_10_20_10_16_30_40,0.0,,0.0,30,-15,-15
15,10,12,20,10,16,30,40,2017,2017-01-02 19:50:00,15_10_12_20_10_16_30_40,-5.24,14.28,-1.84,136,-780,-780
