Date,Timestamp,Open,High,Low,Close,Volume
20160103,22:00:00,1.0873,1.0873,1.08702,1.08714,8.62000000476837
20160103,22:01:00,1.08718,1.08718,1.08713,1.08713,3.75
20160103,22:02:00,1.08714,1.08721,1.08714,1.0872,4.60000000149012
20160103,22:03:00,1.08717,1.08721,1.08714,1.08721,7.5699999332428
20160103,22:04:00,1.08718,1.08718,1.08711,1.08711,5.5200001001358
20160103,22:05:00,1.08711,1.08714,1.08711,1.08711,27.4700000286102
20160103,22:06:00,1.08717,1.0872,1.08711,1.08711,21.5800001621246
20160103,22:07:00,1.08713,1.08718,1.08712,1.08715,28.1200000047684
20160103,22:08:00,1.08714,1.08723,1.08712,1.08718,49.7399998903275
20160103,22:09:00,1.08722,1.08727,1.08709,1.08709,63.7199997901917
20160103,22:10:00,1.08708,1.08709,1.08699,1.08703,23.75
20160103,22:11:00,1.08701,1.08709,1.08662,1.08668,66.3799998760223
20160103,22:12:00,1.08665,1.08669,1.08662,1.08667,36.8300000429153
20160103,22:13:00,1.08669,1.08682,1.08669,1.0867,19
20160103,22:14:00,1.08668,1.08669,1.08666,1.08666,22.8300007581711
20160103,22:15:00,1.08666,1.0867,1.08666,1.08669,45.6600008010864
20160103,22:16:00,1.08669,1.08674,1.08668,1.08669,58.5600006580353
20160103,22:17:00,1.0867,1.08674,1.08668,1.08674,51.6900008916855
20160103,22:18:00,1.0867,1.0867,1.08667,1.08668,30.2199999094009
20160103,22:19:00,1.08667,1.0867,1.08666,1.08667,37.7000005245209
20160103,22:20:00,1.08667,1.08667,1.08667,1.08667,26.840000629425
20160103,22:21:00,1.08672,1.08702,1.08672,1.08702,64.1399991512299
20160103,22:22:00,1.08713,1.08713,1.08702,1.08702,14
20160103,22:23:00,1.08698,1.08698,1.08669,1.08692,26.5900000333786
20160103,22:24:00,1.08692,1.08707,1.08666,1.08667,38.5999999046326
20160103,22:25:00,1.08666,1.08675,1.08666,1.08675,17.460000038147
20160103,22:26:00,1.08674,1.08674,1.08672,1.08674,23.3399999141693
20160103,22:27:00,1.08674,1.08674,1.08672,1.08673,21.8199999332428
20160103,22:28:00,1.08673,1.08673,1.08673,1.08673,16.4500000476837
20160103,22:29:00,1.08673,1.08674,1.08673,1.08674,5.11000001430511
20160103,22:30:00,1.08676,1.08694,1.08673,1.08694,16.4800000190735
20160103,22:31:00,1.08694,1.08694,1.08681,1.08681,20.799999833107
20160103,22:32:00,1.08681,1.08702,1.08681,1.08682,62.0600004196167
20160103,22:33:00,1.08682,1.08692,1.08682,1.08687,28.6300002336502
20160103,22:34:00,1.08687,1.08687,1.08687,1.08687,24
20160103,22:35:00,1.08687,1.08687,1.08687,1.08687,20
20160103,22:36:00,1.0869,1.0869,1.08689,1.0869,26.9200000762939
20160103,22:37:00,1.0869,1.0869,1.0869,1.0869,15.3300000429153
20160103,22:38:00,1.0869,1.0869,1.08689,1.0869,19.210000038147
20160103,22:39:00,1.0869,1.0869,1.0869,1.0869,1.87000000476837
20160103,22:40:00,1.08686,1.08686,1.08682,1.08682,15.2000000476837
20160103,22:41:00,1.08682,1.08682,1.08677,1.08677,29.0700000524521
20160103,22:42:00,1.08676,1.08677,1.08676,1.08677,2.5
20160103,22:43:00,1.08677,1.08677,1.08676,1.08677,10.1000000238419
20160103,22:44:00,1.08677,1.08677,1.08677,1.08677,6.10000002384186
20160103,22:45:00,1.08677,1.08685,1.08677,1.08685,20
20160103,22:46:00,1.08685,1.08687,1.08676,1.0868,41
20160103,22:47:00,1.0868,1.0868,1.08677,1.08678,19.7099999189377
20160103,22:48:00,1.08677,1.0868,1.08675,1.08675,32.940000295639
20160103,22:49:00,1.08675,1.08675,1.08665,1.08665,45.8000004291534
20160103,22:50:00,1.08665,1.08665,1.08664,1.08665,10.4900002479553
20160103,22:51:00,1.08664,1.0867,1.08659,1.08666,44.7800005674362
