bOPCL0,bOPCL1,bOPCL2,sGAIN0,sLOSS0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
20,10,13,15,30,2017,2017-02-14 10:29:00,20_10_13_15_30,0.44,21.95,0.25,408,-24,-24
10,10,15,10,20,2016,2016-01-08 17:40:00,10_10_15_10_20,0.59,15.31,0.65,528,47,-45
10,10,15,10,20,2017,2017-04-03 00:12:00,10_10_15_10_20,0.39,14.94,0.43,489,-53,-45
10,10,15,11,30,2017,2017-02-02 15:44:00,10_10_15_11_30,0.55,19.52,0.46,609,30,30
