bHLMN0,bHLMN1,bHLMN2,bOPCL0,bOPCL1,bOPCL2,sEVNT0,sGAIN0,sLBND0,sLBND1,sLOSS0,sTIME0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
,,,,,,,,,,,,,2016-05-13 15:58:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-07-29 16:11:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-13 16:16:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-07-29 16:27:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-13 16:48:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-27 15:51:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-07-29 16:48:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-07-29 17:04:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-27 17:23:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-07-29 17:28:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-07-29 17:46:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-07-29 18:02:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-27 18:16:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-13 17:38:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-27 18:34:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-07-29 20:15:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-07-29 20:46:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-07-31 21:02:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-07-31 21:31:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-07-31 21:50:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-07-31 22:06:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-27 18:56:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-13 18:29:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-27 19:26:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-07-31 23:08:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-27 20:57:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-07-31 23:26:00,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,2016-05-29 22:09:00,,0.0,0.0,0.0,0.0,0.0,0.0
